headers
JOHN 80926.594391 M
MARK 80531.804348 M
THOMAS 80485.427174 M
PETER 80013.413284 M
PAUL 79916.308040 M
SUSAN 79786.041710 F
EDWARD 79458.508621 M
STEPHEN 79336.526252 M
FRANK 79308.574755 M
JAMES 78864.604031 M
ROBERT 78674.212221 M
RICHARD 78313.301971 M
STEVEN 78060.895462 M
PATRICK 78005.728351 M
WILLIAM 77665.683362 M
BRIAN 77284.066535 M
JOSEPH 76210.662361 M
MICHAEL 76196.167158 M
DAVID 75597.114206 M
CHARLES 75477.330357 M
ERIC 75451.769815 M
KEVIN 75135.679896 M
KAREN 74132.740019 F
DANIEL 74045.570208 M
LISA 73773.233073 F
ANDREW 73621.106833 M
MARY 72733.274590 F
MATTHEW 72474.622893 M
CHRISTINE 72317.635294 F
JACQUELINE 72227.775168 F
CHRISTOPHER 71745.732174 M
JENNIFER 71490.955589 F
ANTHONY 71305.188536 M
PATRICIA 70208.448276 F
JASON 69989.315996 M
ELIZABETH 69938.927489 F
LINDA 68945.119658 F
MELISSA 68840.625000 F
MICHELLE 68725.009167 F
DENISE 68539.606977 F
JOSE 67705.563771 M
NICOLE 66781.845490 F
JESSICA 66221.514526 F
MARIA 65540.526342 F
STEPHANIE 63754.136364 F
