first_name base_salary
MATTHEW 19.676932515337423
PAUL 18.809482758620696
THOMAS 18.473913043478273
NANCY 18.102649572649558
DANIEL 17.82782978723405
SUSAN 17.569239543726223
JENNIFER 17.49664536741212
JESSICA 17.40027397260273
JOHN 17.37685224839399
STEVEN 17.304451219512195
JONATHAN 17.15585987261147
CHRISTINE 17.091229946524052
MICHAEL 16.911502276175987
ELIZABETH 16.656804123711325
CHRISTOPHER 16.41494296577947
LAURA 16.36181286549706
ANDREW 16.341019108280253
ANDREA 16.338225806451618
PETER 16.325930232558143
ANNA 16.21284946236558
DAVID 16.164415274462996
JOSE 16.13347670250898
MELISSA 16.047364864864868
RICHARD 15.712621722846457
KAREN 15.585190311418673
NICOLE 15.51342342342341
JOSEPH 15.432389610389611
LUIS 14.971893203883507
JAMES 14.748416666666673
ANTHONY 14.486649214659693
DIANA 14.399285714285707
GEORGE 14.332312499999997
LISA 14.224775641025618
MARIA 14.10063625450181
ROBERT 14.075288888888887
KEVIN 13.963706896551722
JANET 13.92373333333333
ANGELA 13.714901960784312
CATHERINE 13.441124260355028
DEBRA 13.366101694915253
STEPHANIE 13.226944444444438
ANA 13.144541284403667
SONIA 12.9158904109589
EDWARD 12.796153846153848
DIANE 12.501964285714276
MICHELLE 12.44939024390243
CHARLES 12.344432432432436
WILLIAM 12.291381381381386
MARY 12.242367816091948
DONNA 12.118791666666654
EVELYN 11.986402116402113
THERESA 11.934393063583814
CYNTHIA 11.88069651741293
ROSA 11.860360360360351
CARMEN 11.405838709677411
MARIE 11.291963470319626
DEBORAH 11.270300751879697
MARGARET 11.07887700534759
LINDA 11.005742092457409
CAROL 10.865097087378642
BARBARA 10.568699186991855
RONALD 10.502119205298014
JACQUELINE 10.251858736059473
PATRICIA 10.222757936507929
SHARON 10.13109540636042
CHERYL 10.086948051948049
DENISE 10.078310344827582
JOAN 9.996604938271604
SANDRA 9.61990445859872
VALERIE 9.142432432432434
GLORIA 8.31016949152542
SHIRLEY 8.231292517006803
YVONNE 7.841802325581394
BRENDA 7.7773786407767
